Titulo,Precio
TOSH FUSIÓN DE CEREALES 195G,$4.850 
TOSTACOS PICANTES 185GR,$6.400 
TOSTADA CHOCOLATE HORNEADITOS 100 GRS,$2.950 
TOSTADA CLÁSICA HORNEADITOS 10 UND 150 G,$1.800 
TOSTADA CLÁSICA MANTEQUILLA 150 GRS,$2.150 
TOSTADA INTEGRAL HORNEADITOS 10 UND 150G,$1.900 
TOSTADITAS MANTEQUILLA HORNEADITOS 100 G,$2.500 
TOSTADA NATRI MULTICEREAL70 GRS / MAÍZ 90 GRS...,$3.800 
TOSTADA SURTIDA HORNEADITOS 100 G,$2.990 
TOSTADAS CON AJO HORNEADITOS 90 G,$2.200 
TOSTADAS FINAS HIERBAS HORNEADITOS 90 G,$2.200 
TRIDENT MENTA SIN AZUCAR 5S,$1.600 
TRIDENT SIN AZUCAR FRESHMINT 18,$3.990 
TRIDENT SIN AZUCAR SANDIA 18,$3.990 
TRIDENT SIN AZUCAR YERBABUENA 18S,$3.990 
TRUFAS DE BROWNIE TRUFUS 80 G,$2.500 
TURRÓN DURO DE ALMENDRA MARIA IBANEZ 150GRS...,$12.950 
TURRONES DE GRANOLA SIN AZÚCAR NATRI 150 GRS...,$5.990 
UVAS IMPORTADAS RED GLOBE 500 G X 1 UND,$7.990 
UVAS PASAS NUTHOS 200 G,$3.600 
VINAGRE BALSAMICO DELIZIARE X 250 ML,$7.990 
VINAGRE BLANCO ZEV 1000 ML,$2.850 
VINAGRE DE SIDRA DE MANZANA NATRI 250ML,$3.990 
VINAGRETA LIGHT ZEV,$4.990 
VINAGRETA RANCH ZEV X 240 GR,$3.990 
WAFER COCOSETTE 46 GR,$1.750 
WAFER CUBIERTA DE CHOCOLATE BISCOLATA VENI 20 G...,$1.000 
GALLETA WAFER VAINILLA SIN AZUCAR BRIDGE 6 PK ...,$11.300 
WAFFLE SABOR NATURAL BACKEREI 216 G,$6.490 
YUQUITAS KYTHOS 135 GR,$3.990 
ZANAHORIA X 1000 G,$2.900 
CARNE MOLIDA DE CERDO 500G,$9.990 
TRIDENT SIN AZUCAR YERBABUENA 14 UNDS,$2.990 
TRIDENT SIN AZUCAR FRESHMINT 14 UNDS,$2.990 
DULCES DUROS SABORES SURTIDOS 50 UNDS,$2.950 
CHICHARRÓN DE CERDO KYTHOS 35 GR,$3.990 
ACEITE DE AGUACATE NATRI 230ML,$13.950 
FIDEOS DORIA 250 GRS,$2.150 
GALLETA TOSH CREMADA 144 GRS,$6.950 
ESPINACA X 200G,$2.900 
COLOR ESPECIARIA 40 G,$990.000 
CHORIZO ANTIOQUEÑO VIANDÉ 225G,$6.990 
MANDARINA IMPORTADA X 600G,$6.990 
CALDO DESMENUZADO GALLINA SPECIARIA 12 U,$2.990 
TRIDENT SIN AZUCAR BOTELLA CITRUS 18 UN,$7.990 
TRIDENT SIN AZUCAR SANDIA 14 UNDS,$2.990 
GALLETAS MANTEQUILLA NAVIDAD 130 GRS,$5.490 
SALMÓN AHUMADO 70G,$10.950 
SALSA DE CIRUELA ZEV 200G,$2.990 
GALLETA NAVIDAD NOEL ALCANCÍA 160 GRS,$19.950 
DULCES SURTIDOS PIÑATA 60 UNDS,$6.990 
CHOCOLATINA JET CHOCOVETEADA 150 GRS,$8.490 
